ID,Date,Furnace,Difference Phase 1 (Real - Target),Difference Phase 2,Difference Phase 3,Difference Phase 4,Difference Phase 5,Delay Time,Dureza,Dureza PC
1821,12/08/24,1,408,-190,58,49,-27,21,1,2
1822,12/08/24,2,137,-7,-44,-42,-33,3,1,2
1823,12/08/24,2,447,142,-150,44,23,51,1,2
1824,12/08/24,1,385,-21,-169,16,-52,46,1,2
1825,12/08/24,2,239,451,120,-43,31,58,1,2
1826,12/08/24,1,214,-207,-226,54,-42,19,1,2
1827,12/08/24,1,259,-56,34,-4,-14,107,1,2
1828,12/08/24,2,11,-213,-13,39,-14,106,1,2
1829,12/08/24,1,243,205,49,43,-25,29,1,2
1830,12/08/24,1,220,-111,-170,-55,16,81,1,2
1831,12/08/24,1,390,340,114,-129,-30,8,1,2
1832,12/08/24,1,494,305,55,-63,0,57,1,2
1833,12/08/24,1,590,-78,-89,-5,40,18,1,2
1834,12/08/24,1,289,206,-111,-80,30,117,1,2
1835,12/08/24,2,257,231,14,-90,-48,33,1,2
1836,12/08/24,2,180,-186,-116,-61,0,101,1,2
1837,12/08/24,1,49,-180,-127,-102,35,39,1,1
1838,12/08/24,1,382,186,-233,-112,-35,114,2,1
1839,12/08/24,1,563,204,174,-86,-22,75,2,1
1840,12/08/24,2,-107,378,-64,-99,-30,111,2,1
1841,12/08/24,1,210,127,-176,26,35,67,2,1
1842,12/08/24,1,105,36,-138,28,35,41,2,1
1843,12/08/24,1,385,407,29,44,32,14,1,1
1844,12/08/24,2,-142,329,126,-87,10,38,2,1
1845,12/08/24,1,-120,-231,-122,3,-3,63,2,1
1846,12/08/24,2,444,-18,9,-40,25,3,2,1
1847,12/08/24,1,-108,109,219,-89,-52,87,1,1
1848,12/08/24,1,375,-116,15,-29,-1,99,1,1
1849,12/08/24,2,235,-182,85,-71,22,68,1,1
1850,12/08/24,1,52,404,-155,-60,42,49,1,1
1851,12/08/24,2,196,419,-92,-128,21,2,1,1
1852,12/08/24,1,172,177,-27,20,-45,43,1,1
1853,12/08/24,2,14,273,-69,-5,16,41,2,1
1854,12/08/24,2,536,114,-252,-63,-40,27,1,1
1855,12/08/24,2,-76,-89,80,-111,29,7,2,1
1856,12/08/24,1,423,330,-49,-118,7,64,2,1
1857,12/08/24,1,-109,-204,-178,-110,-48,87,2,1
1858,12/08/24,1,62,142,-17,28,19,71,2,1
1859,12/08/24,2,448,220,-93,26,-39,12,3,1
1860,12/08/24,1,-146,-134,-104,-89,-22,66,3,1
1861,12/08/24,1,399,-42,-114,-115,-1,70,3,1
1862,12/08/24,1,162,-65,44,-84,-32,105,3,1
1863,12/08/24,2,502,458,-239,-39,-35,93,1,2
1864,12/08/24,1,288,212,-50,26,22,24,1,2
1865,11/08/24,1,82,220,-210,17,10,65,3,1
1866,11/08/24,1,530,-118,-70,8,-51,58,2,1
1867,11/08/24,1,610,242,-212,-11,33,115,2,1
1868,11/08/24,1,138,255,220,25,-39,108,2,1
1869,11/08/24,1,408,-26,122,-28,-6,60,2,1
1870,11/08/24,2,-131,240,-243,44,-21,78,2,1
1871,11/08/24,1,442,209,53,-7,31,24,2,1
1872,11/08/24,2,71,-137,139,-83,39,109,1,2
1873,11/08/24,1,490,285,-211,-25,15,114,1,2
1874,11/08/24,2,-77,-8,-143,-18,25,90,1,2
1875,11/08/24,1,96,365,97,22,-9,61,1,2
1876,11/08/24,2,-98,-218,-103,-76,-21,99,1,2
1877,11/08/24,2,204,255,-39,-7,36,37,1,3
1878,11/08/24,2,-69,93,-120,-17,-25,55,1,3
1879,11/08/24,2,386,41,-195,-93,-34,52,1,3
1880,11/08/24,2,343,230,-246,-75,11,38,1,3
1881,11/08/24,2,256,37,-3,-113,-46,21,1,3
1882,11/08/24,1,14,170,191,30,-18,113,1,3
1883,11/08/24,1,138,-41,-49,38,-38,9,1,3
1884,11/08/24,2,164,273,-11,-126,-40,86,1,3
1885,11/08/24,1,-125,-159,187,-47,-24,22,1,3
1886,11/08/24,2,425,-121,204,-99,2,52,1,3
1887,11/08/24,1,238,-221,26,-52,37,106,1,3
1888,11/08/24,1,417,-231,135,-75,-44,37,1,3
1889,11/08/24,2,518,-220,88,-97,7,48,1,3
1890,11/08/24,2,229,460,80,17,-46,106,1,3
1891,11/08/24,2,-65,266,114,-129,10,60,1,3
1892,11/08/24,2,399,-108,-47,-37,19,85,1,3
1893,11/08/24,2,476,285,116,-2,-15,16,1,3
1894,11/08/24,1,356,279,-220,-6,8,89,1,3
1895,11/08/24,2,333,138,-185,-110,-51,99,1,1
1896,11/08/24,2,56,29,-203,-63,32,72,1,1
1897,11/08/24,1,235,318,175,-39,31,62,1,1
1898,11/08/24,2,237,-178,-111,-94,-31,99,1,1
1899,11/08/24,2,47,434,-50,-127,-41,86,1,1
1900,11/08/24,1,238,414,-203,-21,-23,39,1,1
1901,11/08/24,2,495,151,85,14,-18,16,1,1
1902,11/08/24,1,578,-102,-95,-47,25,33,1,1
1903,11/08/24,2,179,362,226,-84,7,49,1,1
1904,11/08/24,1,406,-82,-61,-123,-44,50,1,1
1905,11/08/24,1,418,397,-143,-80,37,53,1,1
1906,11/08/24,2,245,-71,92,9,32,65,1,1
1907,11/08/24,1,279,-26,-191,-67,11,89,2,1
1908,11/08/24,1,-21,478,91,-35,37,98,2,1
1909,11/08/24,2,457,-103,159,26,-12,58,2,1
1910,11/08/24,1,506,321,133,46,8,15,2,1
1911,11/08/24,1,467,397,-211,1,-33,13,2,1
1912,11/08/24,2,251,237,188,-58,-49,62,2,1
1913,11/08/24,2,-124,90,177,-66,-50,79,2,1
1914,11/08/24,2,351,-8,-144,28,-3,65,2,1
1915,11/08/24,2,213,-67,-207,52,-26,50,2,1
1916,11/08/24,1,-30,-194,-59,3,-55,77,2,1
1917,11/08/24,1,235,-78,5,-102,-25,75,2,1
1918,11/08/24,2,160,180,-51,16,43,53,2,1
1919,11/08/24,1,258,-218,219,25,15,77,2,1
1920,11/08/24,2,78,-140,145,27,-12,78,2,1
1921,11/08/24,1,547,-230,197,-81,43,12,1,1
1922,11/08/24,1,44,-220,-143,-123,19,81,1,1
1923,11/08/24,1,17,302,11,13,-17,8,1,1
1924,11/08/24,1,613,-39,139,-46,-39,70,1,1
1925,11/08/24,1,-77,172,163,50,-25,28,1,1
1926,11/08/24,1,548,-58,197,-29,-46,33,1,1
1927,11/08/24,1,427,24,-226,-124,-22,54,1,1
1928,11/08/24,1,467,-6,-103,-114,31,119,1,1
1929,11/08/24,1,318,431,163,-70,-21,69,3,1
1930,11/08/24,2,158,-98,-140,-6,37,95,3,1
1931,11/08/24,1,350,72,94,-38,22,71,3,1
1932,11/08/24,1,252,303,-32,-58,-28,113,3,1
1933,11/08/24,2,406,362,143,-26,27,102,3,1
1934,11/08/24,2,538,-30,-173,54,14,60,3,1
1935,11/08/24,2,603,-72,197,40,-53,108,3,2
1936,11/08/24,1,61,-215,-140,-36,-41,27,3,1
1937,11/08/24,1,231,-120,16,-42,25,102,3,0
1938,11/08/24,2,-13,-181,-97,-60,-31,85,3,2
1939,11/08/24,1,545,222,45,-38,-26,30,3,0
1940,11/08/24,2,227,-98,-12,-73,-10,113,3,0
1941,11/08/24,2,430,-167,-15,51,-52,73,3,0
1942,11/08/24,1,499,353,66,-127,-54,81,2,0
1943,11/08/24,2,210,-167,-15,-65,-46,112,3,0
1944,11/08/24,1,339,-146,122,-39,-24,48,3,0
1945,11/08/24,1,27,348,-32,-37,26,7,1,0
1946,11/08/24,2,36,418,53,-19,3,104,1,0
1947,11/08/24,1,141,-162,152,-15,42,113,1,2
1948,11/08/24,1,-101,364,-166,0,-49,49,1,2
1949,11/08/24,2,519,75,200,-119,-7,110,1,2
1950,11/08/24,1,-152,397,6,-70,40,100,1,2
1951,11/08/24,1,459,27,58,-49,7,80,1,2
1952,11/08/24,2,-14,-39,110,-101,-40,101,1,2
1953,11/08/24,1,76,123,23,-3,27,10,1,2
1954,11/08/24,2,-72,-70,-253,-3,-47,39,2,2
1955,11/08/24,2,-6,237,175,-116,21,73,1,2
1956,11/08/24,1,-97,239,-54,40,-18,112,1,2
1957,11/08/24,1,92,54,-60,-11,-16,11,1,2
1958,11/08/24,1,218,-57,-103,-1,-13,94,1,2
1959,11/08/24,1,156,-205,165,-47,-35,114,1,2
1960,11/08/24,1,480,-102,-5,-8,-31,73,1,2
1961,11/08/24,2,312,255,198,-124,-53,55,1,2
1962,11/08/24,2,534,-179,144,-110,-30,10,1,2
1963,11/08/24,1,190,-110,-173,-108,35,109,1,2
1964,11/08/24,1,160,-154,-137,-19,12,39,1,2
1965,11/08/24,2,392,437,223,-54,-4,76,1,2
1966,11/08/24,2,-32,237,0,-34,-32,66,1,2
1967,11/08/24,1,531,342,-95,-76,-4,36,1,2
1968,11/08/24,2,215,-119,57,-39,26,27,1,2
1969,11/08/24,1,83,62,106,-20,32,76,1,2
1970,11/08/24,1,292,268,-31,39,-43,47,1,2
1971,11/08/24,2,298,408,-18,29,-38,118,1,2
1972,11/08/24,1,332,300,3,-31,37,30,1,2
1973,11/08/24,2,-24,-123,147,45,18,98,1,1
1974,11/08/24,2,-32,167,-45,39,-7,101,1,2
1975,11/08/24,1,469,465,-134,0,-38,24,1,1
1976,11/08/24,2,585,215,-167,-37,-29,48,1,3
1977,11/08/24,1,-15,101,117,34,13,19,1,3
1978,11/08/24,1,289,27,-9,-62,27,10,1,3
1979,11/08/24,2,-49,-9,103,-48,-45,65,1,3
1980,11/08/24,2,139,-216,-80,-13,10,95,1,3
1981,11/08/24,2,294,63,122,53,-51,112,2,3
1982,11/08/24,1,141,110,-254,-34,-11,4,1,3
1983,11/08/24,1,372,297,-253,-37,-6,5,1,3
1984,11/08/24,1,469,228,161,-45,-53,43,1,3
1985,11/08/24,2,588,-176,-234,-65,-12,68,1,3
1986,11/08/24,2,411,93,166,-23,-7,20,0,2
1987,11/08/24,2,-72,-12,72,-11,12,94,0,1
1988,11/08/24,2,70,-39,60,-63,-25,61,0,2
1989,11/08/24,2,547,314,180,-114,11,104,0,1
1990,11/08/24,1,131,-24,-242,-96,-45,88,0,1
1991,11/08/24,2,-35,-201,-96,-71,-41,26,0,1
1992,11/08/24,2,545,464,208,29,-7,98,1,2
1993,11/08/24,2,536,305,-222,-80,-39,66,2,2
1994,11/08/24,2,207,-154,36,-119,-18,56,0,2
1995,11/08/24,1,112,314,-212,-10,-4,98,1,1
1996,11/08/24,1,5,208,195,-86,-46,36,1,1
1997,11/08/24,2,207,31,-33,-123,-47,13,1,1
1998,11/08/24,1,227,138,100,-27,33,51,1,1
1999,11/08/24,1,211,145,-120,27,41,23,1,1
2000,11/08/24,1,211,399,197,-14,32,41,1,1
2001,11/08/24,2,84,-61,-70,-67,-37,22,1,2
2002,11/08/24,1,426,43,77,-105,13,110,1,1
2003,11/08/24,1,128,-176,-46,-117,5,86,1,2
2004,11/08/24,2,90,293,-136,-41,-26,63,1,2
2005,11/08/24,2,432,461,-166,-75,-1,104,1,2
2006,11/08/24,2,613,-113,-169,-33,38,64,1,2
2007,11/08/24,2,331,58,65,-74,-8,30,1,2
2008,11/08/24,1,410,481,-210,-79,17,17,1,2
2009,11/08/24,2,-2,161,45,19,-31,91,2,2
2010,11/08/24,1,-84,-80,-137,-3,-16,115,1,2
2011,11/08/24,1,42,409,128,-73,19,35,1,2
2012,11/08/24,2,396,238,-29,20,-20,95,1,2
2013,11/08/24,1,69,208,229,-64,-53,30,1,2
2014,11/08/24,1,458,-95,-76,43,8,13,1,2
2015,11/08/24,2,473,388,-233,21,-27,7,1,2
2016,11/08/24,1,557,478,199,-71,-11,37,1,0
2017,11/08/24,2,86,306,-227,-45,-40,32,1,0
2018,11/08/24,1,-150,395,141,-12,-54,112,1,0
2019,11/08/24,1,141,15,-72,-19,33,30,1,0
2020,11/08/24,2,483,378,-231,-82,-2,84,1,0
2021,11/08/24,2,520,64,53,46,27,119,1,0
2022,11/08/24,2,374,170,-236,-27,17,7,1,0
2023,11/08/24,2,465,-65,34,-12,22,31,1,0
2024,11/08/24,2,127,24,-70,-93,11,119,1,0
2025,11/08/24,1,448,100,-203,-21,27,67,1,0
2026,11/08/24,1,424,472,-101,-76,-44,67,1,0
2027,11/08/24,1,252,-4,72,-122,-51,38,1,2
2028,11/08/24,2,486,463,211,-112,39,49,1,1
2029,11/08/24,1,44,56,-96,-59,38,82,1,1
2030,11/08/24,1,-67,379,-20,-91,27,115,1,1
2031,11/08/24,1,193,-112,202,24,-36,1,1,1
2032,11/08/24,1,57,-126,29,-3,-31,101,1,1
2033,11/08/24,1,615,114,-223,49,41,91,1,1
2034,11/08/24,1,184,324,86,44,5,86,1,1
2035,11/08/24,2,524,424,13,9,4,82,1,1
2036,11/08/24,1,354,453,-32,-39,14,101,1,1
2037,11/08/24,2,-27,-173,83,-114,-27,68,3,1
2038,11/08/24,1,194,-102,177,24,-14,43,3,1
2039,11/08/24,2,550,-230,71,-92,25,39,0,1
2040,11/08/24,1,226,330,-177,-18,34,111,0,1
2041,11/08/24,1,13,460,79,-59,-39,64,0,1
2042,11/08/24,2,-144,193,209,-33,30,104,0,1
2043,11/08/24,1,93,99,-195,-122,-53,37,0,1
2044,11/08/24,2,111,266,-69,-16,-54,33,0,1
2045,11/08/24,1,283,271,-5,54,-44,64,0,1
2046,11/08/24,1,-24,350,-227,19,0,63,3,1
2047,11/08/24,1,126,-232,12,-67,-11,6,3,1
2048,11/08/24,2,-47,28,111,38,-52,103,3,1
2049,11/08/24,2,-7,223,216,-102,-55,101,3,1
2050,11/08/24,2,-143,-112,145,49,-12,99,3,1
2051,11/08/24,2,491,-90,-212,-1,1,54,3,1
2052,11/08/24,1,515,270,-3,-129,26,82,3,1
2053,11/08/24,1,596,457,-197,54,-47,29,3,1
2054,11/08/24,2,472,69,-16,46,39,102,3,1
2055,11/08/24,2,305,454,226,-52,-48,85,3,1
2056,11/08/24,1,194,-72,115,-100,27,22,3,1
2057,11/08/24,2,75,271,97,-58,39,1,3,1
2058,11/08/24,1,595,-94,-108,-110,42,113,3,1
2059,11/08/24,1,397,278,122,-105,17,53,3,1
2060,11/08/24,2,70,82,46,-57,10,72,3,1
2061,11/08/24,1,309,229,-159,-113,35,107,3,3
2062,11/08/24,1,596,85,-147,-21,40,56,3,3
2063,11/08/24,2,-141,-170,31,-110,-19,94,3,3
2064,11/08/24,1,562,334,-225,35,20,113,3,3
2065,11/08/24,1,-7,395,-36,-6,26,113,3,3
2066,11/08/24,1,534,171,37,-79,8,21,3,0
2067,11/08/24,2,607,477,200,7,-21,6,1,3
2068,11/08/24,1,0,-37,-98,-128,40,118,3,0
2069,11/08/24,2,402,427,31,-22,19,26,1,3
2070,11/08/24,2,-16,173,-28,4,-38,1,2,3
2071,11/08/24,1,-39,-189,223,-60,-15,111,3,3
2072,11/08/24,2,-71,367,196,53,11,51,1,3
2073,11/08/24,1,523,69,150,-110,30,94,1,2
2074,11/08/24,1,177,92,-198,52,18,39,0,3
2075,11/08/24,1,-6,136,169,-68,0,2,0,3
2076,11/08/24,2,581,-150,35,-107,-36,118,0,3
2077,11/08/24,1,270,428,85,-92,39,56,0,2
2078,11/08/24,2,77,367,44,-62,-48,12,0,2
2079,11/08/24,2,-34,-28,11,-58,19,44,0,2
2080,11/08/24,2,319,361,-12,-4,-43,46,0,0
2081,11/08/24,2,-30,392,14,47,-30,106,0,0
2082,11/08/24,2,290,424,-137,-32,5,60,0,0
2083,11/08/24,1,568,88,10,28,25,92,0,0
2084,11/08/24,2,-40,-224,-207,-35,-40,63,0,0
2085,11/08/24,1,237,30,-184,-90,26,83,0,0
2086,11/08/24,2,136,440,118,-83,-16,29,0,0
2087,11/08/24,2,167,443,37,-48,44,79,0,0
2088,11/08/24,2,-31,-22,-92,20,-30,54,0,0
2089,11/08/24,1,140,20,-191,37,-5,53,0,0
2090,10/08/24,2,335,110,206,-29,11,119,3,0
2091,10/08/24,1,259,178,21,-16,9,80,3,0
2092,10/08/24,2,568,166,22,-56,-51,60,1,0
2093,10/08/24,1,488,-58,10,-94,-55,8,1,0
2094,10/08/24,1,349,-172,93,-69,33,98,1,0
2095,10/08/24,2,33,63,-48,0,-34,86,1,0
2096,10/08/24,1,-76,49,157,1,24,44,1,0
2097,10/08/24,2,193,231,-27,-28,-53,43,1,0
2098,10/08/24,1,271,484,-39,-11,1,98,1,0
2099,10/08/24,1,-58,114,-127,27,43,46,1,0
2100,10/08/24,1,-122,441,209,-113,-8,61,1,0
2101,10/08/24,2,605,462,-240,-118,-7,1,1,0
2102,10/08/24,2,427,-12,64,-121,-16,84,1,0
2103,10/08/24,2,75,15,50,-114,0,60,1,0
2104,10/08/24,2,126,340,-40,47,21,66,2,0
2105,10/08/24,2,153,308,131,-71,28,12,2,0
2106,10/08/24,2,235,258,76,-51,2,91,3,0
2107,10/08/24,2,364,200,20,47,-52,32,1,1
2108,10/08/24,2,533,-179,-48,-16,-45,20,1,1
2109,10/08/24,2,201,445,-170,-30,-19,77,1,3
2110,10/08/24,1,554,-217,83,-15,-9,56,1,1
2111,10/08/24,1,375,8,-99,-26,31,72,1,1
2112,10/08/24,2,452,-182,-166,7,32,12,2,3
2113,10/08/24,2,570,133,-171,23,9,73,3,3
2114,10/08/24,1,69,-98,69,43,-27,29,2,1
2115,10/08/24,2,91,315,160,-69,-37,99,1,3
2116,10/08/24,2,515,339,122,-98,29,86,3,1
2117,10/08/24,2,203,-27,54,-74,26,100,3,1
2118,10/08/24,1,50,289,-75,-3,-2,109,0,1
2119,10/08/24,1,-21,118,136,-73,-27,34,0,1
2120,10/08/24,2,-33,69,9,18,23,20,3,1
2121,10/08/24,1,10,183,-21,36,-7,28,1,1
2122,10/08/24,1,602,-6,-212,-55,-21,61,2,1
2123,10/08/24,1,164,130,-245,-44,27,59,2,1
2124,10/08/24,2,534,-91,154,-68,-4,65,1,1
2125,10/08/24,1,199,458,119,-23,13,43,1,1
2126,10/08/24,1,140,436,101,30,-32,64,2,3
2127,10/08/24,2,522,-10,110,-46,10,80,1,2
2128,10/08/24,1,-145,483,-52,0,38,41,1,1
2129,10/08/24,2,241,-153,179,22,4,11,1,2
2130,10/08/24,1,76,444,-218,16,35,107,1,3
2131,10/08/24,2,354,-132,-220,-62,13,90,2,1
2132,10/08/24,1,540,269,-163,-33,-52,70,1,1
2133,10/08/24,1,314,461,-254,28,19,89,3,1
2134,10/08/24,1,-37,-38,153,-98,-41,73,1,1
2135,10/08/24,1,-60,-186,173,-94,-17,38,1,0
2136,10/08/24,1,374,456,-158,-69,-11,80,1,1
2137,10/08/24,1,186,-16,135,7,-28,84,1,0
2138,10/08/24,1,-8,14,-229,-53,30,79,1,1
2139,10/08/24,1,230,307,-141,-3,30,91,1,0
2140,10/08/24,1,326,-3,-96,-82,4,57,1,0
2141,10/08/24,2,399,-4,-139,-82,27,103,1,0
2142,10/08/24,1,-37,16,63,-11,10,5,1,0
2143,10/08/24,1,-27,29,-107,-121,-33,30,1,0
2144,10/08/24,2,255,395,-219,-8,13,83,1,0
2145,10/08/24,2,508,180,-119,-27,27,27,1,0
2146,10/08/24,2,438,350,-253,-119,43,68,1,0
2147,10/08/24,2,570,377,119,-120,-25,92,1,0
2148,10/08/24,2,112,480,48,-19,-47,31,1,0
2149,10/08/24,2,466,218,145,-9,-52,15,1,0
2150,10/08/24,1,383,-53,139,-67,44,72,1,0
2151,10/08/24,1,532,25,-30,17,39,103,1,0
2152,10/08/24,2,484,-113,27,-56,39,70,1,0
2153,10/08/24,1,314,-199,159,-52,-34,64,1,0
2154,10/08/24,1,222,113,68,-26,35,38,1,0
2155,10/08/24,1,485,184,-207,46,39,43,1,1
2156,10/08/24,2,405,-201,-209,-125,-27,69,1,0
2157,10/08/24,2,569,279,-112,-48,41,85,1,1
2158,10/08/24,1,605,-202,113,-77,-39,110,1,3
2159,10/08/24,2,214,-119,3,-5,27,3,1,1
2160,10/08/24,2,536,-46,-23,28,4,79,1,3
2161,10/08/24,2,203,165,206,7,-23,116,1,3
2162,10/08/24,1,300,362,97,52,1,51,1,1
2163,10/08/24,1,467,-12,200,7,20,40,1,2
2164,10/08/24,2,294,78,-4,-112,-45,6,1,1
2165,10/08/24,2,244,488,56,-127,-25,97,1,2
2166,10/08/24,1,36,-80,127,9,-23,15,1,1
2167,10/08/24,1,316,49,-199,-38,32,6,1,1
2168,10/08/24,1,359,322,130,-107,-42,71,1,1
2169,10/08/24,1,77,410,132,18,-40,71,1,2
2170,10/08/24,1,-98,396,-165,-56,-45,31,1,1
2171,10/08/24,1,356,449,-235,-34,-45,12,1,1
2172,10/08/24,1,-153,133,81,-61,-41,35,1,2
2173,10/08/24,1,141,-135,-55,-73,26,55,1,1
2174,10/08/24,2,546,223,77,-84,-4,107,1,2
2175,10/08/24,2,-76,330,181,13,2,42,1,1
2176,10/08/24,1,95,105,140,29,-20,101,1,2
2177,10/08/24,1,281,216,-193,-36,3,30,1,1
2178,10/08/24,1,264,143,64,44,-29,19,1,2
2179,10/08/24,2,-12,146,-103,-70,-34,109,1,1
2180,10/08/24,1,315,351,154,42,-35,46,1,1
2181,10/08/24,1,383,253,55,40,-35,62,2,1
2182,10/08/24,1,-123,-141,24,32,28,107,1,1
2183,10/08/24,2,40,79,-72,-65,-9,116,1,1
2184,10/08/24,1,-19,370,-40,-11,-35,30,1,1
2185,10/08/24,2,142,-103,-23,-117,42,5,1,1
2186,10/08/24,2,454,-131,-108,-87,42,67,3,1
2187,10/08/24,1,522,169,-26,-83,30,15,3,1
2188,10/08/24,2,196,-108,55,-95,11,112,1,1
2189,10/08/24,1,152,452,85,-88,-52,119,1,2
2190,10/08/24,1,-111,232,63,-99,9,66,1,2
2191,10/08/24,2,217,275,-230,29,-44,84,1,2
2192,10/08/24,1,11,485,128,-70,-21,26,1,2
2193,10/08/24,2,88,-207,-118,-59,22,105,1,2
2194,10/08/24,1,174,220,-216,-35,23,4,1,2
2195,10/08/24,1,82,409,214,35,-53,65,1,2
2196,10/08/24,1,35,309,-216,-47,-11,119,1,2
2197,10/08/24,2,52,-9,69,-124,-10,74,1,2
2198,10/08/24,1,-95,119,171,40,24,106,1,2
2199,10/08/24,2,326,406,5,-63,30,82,1,2
2200,10/08/24,2,-38,-54,-217,12,-11,118,1,2
2201,10/08/24,2,-139,120,110,12,5,84,0,2
2202,10/08/24,2,-31,145,-63,-29,-10,104,1,2
2203,10/08/24,2,74,206,172,-73,7,116,1,2
2204,10/08/24,2,230,294,-84,-114,-26,97,1,2
2205,10/08/24,2,-5,-22,-70,5,28,85,1,2
2206,10/08/24,2,131,-51,6,-10,-33,37,2,2
2207,10/08/24,2,138,33,63,-127,44,69,2,2
2208,10/08/24,2,168,37,-156,37,-3,11,1,2
2209,10/08/24,1,296,-159,135,-105,8,11,1,2
2210,10/08/24,2,298,314,-186,-42,-42,78,1,0
2211,10/08/24,1,418,483,-32,-114,-20,103,1,0
2212,10/08/24,2,521,162,-73,-65,-39,57,3,0
2213,10/08/24,2,36,464,-249,-116,13,64,3,0
2214,10/08/24,1,-132,-107,143,-75,20,104,3,0
2215,10/08/24,1,-56,49,-132,-129,-36,74,3,0
2216,10/08/24,1,83,-35,-133,41,-9,7,3,0
2217,10/08/24,1,598,23,-77,-110,-19,66,3,0
2218,10/08/24,2,525,0,-244,-111,33,109,2,0
2219,10/08/24,2,1,-191,18,40,6,71,0,0
2220,10/08/24,1,505,471,168,-41,17,60,0,0
2221,10/08/24,1,240,0,57,-47,-32,24,0,3
2222,10/08/24,2,188,406,-74,47,-29,79,0,0
2223,10/08/24,1,392,341,108,-101,-38,80,0,3
2224,10/08/24,2,574,-73,140,34,-43,33,0,0
2225,10/08/24,1,-6,-201,-97,35,-6,49,0,3
2226,10/08/24,2,-128,254,105,11,1,82,0,0
2227,10/08/24,1,467,375,137,37,23,68,0,0
2228,10/08/24,1,134,295,-214,-56,-22,91,0,0
2229,10/08/24,2,514,370,64,-33,-49,119,0,0
2230,10/08/24,1,93,-19,224,-107,-6,114,0,0
2231,10/08/24,2,-51,425,-36,-26,27,62,0,0
2232,10/08/24,1,583,7,102,-34,-10,6,0,0
2233,10/08/24,1,476,138,70,-58,40,80,0,0
2234,10/08/24,1,516,-67,-186,-71,-17,95,0,0
2235,10/08/24,1,429,228,-175,13,-40,57,0,0
2236,10/08/24,1,138,21,59,48,-4,39,0,0
2237,10/08/24,2,-4,199,199,-120,-47,112,0,0
2238,10/08/24,1,123,248,-17,-21,26,103,0,0
2239,10/08/24,2,-101,342,173,-92,-2,9,0,0
2240,10/08/24,1,66,-137,-188,24,0,33,0,0
2241,10/08/24,2,482,-173,-60,-56,-27,25,0,0
2242,10/08/24,1,408,288,76,-60,-9,23,0,0
2243,10/08/24,2,-85,456,144,38,12,62,1,0
2244,10/08/24,1,280,-26,-7,3,12,97,1,0
2245,10/08/24,2,-136,-100,210,-7,41,76,1,0
2246,10/08/24,2,336,78,-191,-52,38,114,1,0
2247,10/08/24,2,614,197,19,-65,-27,26,2,0
2248,10/08/24,1,574,92,83,-100,27,117,1,0
2249,10/08/24,2,21,70,210,-80,-44,58,1,0
2250,10/08/24,2,-65,-224,-114,-124,14,7,3,0
2251,10/08/24,2,139,-216,-144,-98,-35,24,3,0
2252,10/08/24,1,-122,52,176,32,0,8,1,0
2253,10/08/24,1,587,-111,-42,-32,17,52,1,0
2254,10/08/24,2,319,268,-165,37,7,12,1,0
2255,10/08/24,2,567,-143,-109,-98,-31,72,1,0
2256,10/08/24,1,504,-142,181,-83,-50,25,1,0
2257,10/08/24,2,403,259,-135,-2,9,87,1,0
2258,10/08/24,1,-137,99,179,30,-49,9,1,0
2259,10/08/24,1,154,422,-64,-24,15,75,1,0
2260,10/08/24,2,201,338,103,-109,27,104,1,0
2261,10/08/24,1,289,-114,-93,45,-10,47,1,0
2262,10/08/24,2,104,340,106,28,-43,45,1,0
2263,10/08/24,1,185,-8,-169,34,-13,2,1,0
2264,10/08/24,2,-147,181,172,-8,-50,34,1,0
2265,10/08/24,1,267,27,-222,-35,32,70,1,0
2266,10/08/24,2,313,196,-88,-104,32,87,1,0
2267,10/08/24,2,526,8,-53,-110,26,34,1,0
2268,10/08/24,2,-8,-215,134,9,27,107,1,0
2269,10/08/24,2,430,-185,-62,13,-2,59,1,0
2270,10/08/24,2,24,79,36,-24,-13,113,1,0
2271,10/08/24,2,52,198,-242,-10,-3,62,1,0
2272,10/08/24,2,-76,212,-232,-10,22,84,1,0
2273,10/08/24,2,568,-89,93,-107,-46,76,1,0
2274,10/08/24,1,349,-21,-234,-68,-32,86,1,0
2275,10/08/24,2,257,-45,-83,-103,2,57,1,0
2276,10/08/24,1,362,-223,18,-57,-27,72,1,0
2277,10/08/24,2,201,244,-67,-48,1,61,1,0
2278,10/08/24,1,424,-178,83,1,-49,2,1,0
2279,10/08/24,2,-7,321,54,-76,-45,9,1,0
2280,10/08/24,2,-66,298,-255,24,1,69,1,0
2281,10/08/24,1,288,-79,-182,13,19,70,1,0
2282,10/08/24,1,548,120,70,-4,19,7,1,0
2283,10/08/24,2,20,135,-139,6,-10,71,1,0
2284,10/08/24,2,-105,275,10,29,34,48,1,0
2285,10/08/24,2,567,-148,-195,-11,-23,21,1,0
2286,10/08/24,1,167,-199,112,-97,-40,50,1,0
2287,10/08/24,1,60,396,9,-120,38,15,1,0
2288,10/08/24,2,404,212,116,-16,-19,31,1,0
2289,10/08/24,2,249,28,-96,-70,34,60,1,3
2290,10/08/24,1,295,59,103,35,-47,97,3,3
2291,10/08/24,1,34,476,-205,-56,-19,118,2,1
2292,10/08/24,1,13,413,179,26,14,59,1,3
2293,10/08/24,2,264,-16,-237,-104,36,85,1,3
2294,10/08/24,1,-112,-228,215,-74,-14,3,1,1
2295,10/08/24,2,468,123,216,-54,-42,110,1,3
